SJBXX01,SJBXX02,PYM,SZM,WBM
I23.601,急性心肌梗死后心室附壁血栓形成,JXXJGSHXSFBXSXC,323311334553111,QNNESGRNPBNTSGD
I23.800,急性心肌梗死后的其他近期并发症,JXXJGSHDQTJQBFZ,323311331331454,QNNESGRRAWRAUVU
I24.000,冠状动脉血栓形成，未造成心肌梗死,GZDMXSXCWZCXJGS,441331111313311,PUFETSGDFTDNESG
I24.001,冠状动脉支架内血栓形成,GZDMZJNXSXC,44131223111,PUFEFLMTSGD
I24.002,冠状动脉闭塞,GZDMBS,441344,PUFEUP
I24.003,冠状动脉栓塞,GZDMSS,441314,PUFESP
I24.100,德雷斯勒综合征,DLSLZHZ,3111533,TFAAXWT
I24.800,急性缺血性心脏病，其他类型的,JXQXXXZBQTLXD,3233233413413,QNRTNNEUAWOGR
I24.801,急性冠状动脉供血不足,JXGZDMGXBZ,3244133342,QNPUFEWTIK
I24.900,急性缺血性心脏病,JXQXXXZB,32332334,QNRTNNEU
I24.901,急性冠脉综合征,JXGMZHZ,3243533,QNPEXWT
I25.000,被描述为动脉硬化性心血管病,BMSWDMYHXXXGB,4114131323334,PRSYFEDWNNTTU
I25.100,动脉硬化性心脏病,DMYHXXZB,13132334,FEDWNNEU
I25.101,冠状动脉狭窄,GZDMXZ,441334,PUFEQP
I25.102,冠状动脉粥样硬化,GZDMZYYH,44135113,PUFEXSDW
I25.103,冠状动脉粥样硬化性心脏病,GZDMZYYHXXZB,441351132334,PUFEXSDWNNEU
I25.104,冠心病心律失常型,GXBXLSCX,43433341,PNUNTRIG
I25.200,陈旧性心肌梗死,CJXXJGS,5223311,BHNNESG
I25.201,陈旧性高侧壁心肌梗死,CJXGCBXJGS,5224353311,BHNYWNNESG
I25.202,陈旧性后壁心肌梗死,CJXHBXJGS,522353311,BHNRNNESG
I25.203,陈旧性前壁心肌梗死,CJXQBXJGS,522453311,BHNUNNESG
I25.204,陈旧性前间壁心肌梗死,CJXQJBXJGS,5224453311,BHNUUNNESG
I25.205,陈旧性下壁后壁心肌梗死,CJXXBHBXJGS,52215353311,BHNGNRNNESG
I25.206,陈旧性下壁前壁心肌梗死,CJXXBQBXJGS,52215453311,BHNGNUNNESG
I25.207,陈旧性下壁心肌梗死,CJXXBXJGS,522153311,BHNGNNESG
I25.208,陈旧性下壁正后壁心肌梗死,CJXXBZHBXJGS,522151353311,BHNGNGRNNESG
I25.300,心脏动脉瘤,XZDML,33134,NEFEU
I25.301,心室壁瘤,XSBL,3454,NPNU
I25.302,心房壁瘤,XFBL,3454,NYNU
I25.400,冠状动脉动脉瘤,GZDMDML,4413134,PUFEFEU
I25.401,后天性冠状动脉动静脉瘘,HTXGZDMDJML,31244131134,RGNPUFEFGEU
I25.402,冠状动脉扩张,GZDMKZ,441315,PUFERX
I25.500,缺血性心肌病,QXXXJB,332334,RTNNEU
I25.600,无症状心肌缺血,WZZXJQX,1443333,FUUNERT
I25.800,慢性缺血性心脏病，其他类型的,MXQXXXZBQTLXD,5233233413413,NNRTNNEUAWOGR
I25.802,冠状动脉炎,GZDMY,44134,PUFEO
I25.900,慢性缺血性心脏病,MXQXXXZB,52332334,NNRTNNEU
I25.901,冠状动脉性心脏病,GZDMXXZB,44132334,PUFENNEU
I25.902,冠状动脉缺血,GZDMQX,441333,PUFERT
I26.000,肺栓塞提及急性肺源性心脏病,FSSTJJXFYXXZB,3141332342334,ESPREQNEINNEU
I26.001,急性肺源性心脏病,JXFYXXZB,32342334,QNEINNEU
I26.900,肺栓塞未提及急性肺源性心脏病,FSSWTJJXFYXXZB,31411332342334,ESPFREQNEINNEU
I26.901,肺血栓形成,FXSXC,33111,ETSGD
I26.902,慢性肺血栓栓塞症,MXFXSSSZ,52331144,NNETSSPU
I27.000,原发性肺动脉高压,YFXFDMGY,15231341,DVNEFEYD
I27.002,肺动脉高压中度,FDMGYZD,3134124,EFEYDKY
I27.003,肺动脉高压重度,FDMGYZD,3134134,EFEYDTY
I27.100,脊柱后侧凸性心脏病,JZHCTXXZB,413322334,ISRWHNNEU
I27.200,继发性肺动脉高压，其他的,JFXFDMGYQTD,55231341133,XVNEFEYDAWR
I27.201,继发性肺动脉高压,JFXFDMGY,55231341,XVNEFEYD
I27.202,慢性血栓栓塞性肺动脉高压症,MXXSSSXFDMGYZ,5231142313414,NNTSSPNEFEYDU
I27.800,肺源性心脏病，其他特指的,FYXXZBQTTZD,34233413313,EINNEUAWTRR
I27.801,艾森门格综合征,ASMGZHZ,1141533,ASUSXWT
I27.900,肺源性心脏病,FYXXZB,342334,EINNEU
I28.000,肺血管动静脉瘘,FXGDJML,3331134,ETTFGEU
I28.100,肺动脉的动脉瘤,FDMDDML,3133134,EFERFEU
I28.800,肺血管其他特指的疾病,FXGQTTZDJB,3331331344,ETTAWTRRUU
I28.801,肺动脉扩张,FDMKZ,31315,EFERX
I28.802,肺静脉狭窄,FJMXZ,31334,EGEQP
I28.803,后天性肺动脉狭窄,HTXFDMXZ,31231334,RGNEFEQP
I28.804,肺静脉闭塞症,FJMBSZ,313444,EGEUPU
I28.900,肺血管未特指的病,FXGWTZDB,33313134,ETTFTRRU
I30.000,急性非特异性特发性心包炎,JXFTYXTFXXBY,321352352334,QNDTNNTVNNQO
I30.100,感染性心包炎,GRXXBY,142334,DINNQO
I30.101,化脓性心包炎,HNXXBY,332334,WENNQO
I30.102,细菌性心包炎,XJXXBY,512334,XANNQO
I30.103,病毒性心包炎,BDXXBY,412334,UGNNQO
I30.800,急性心包炎，其他类型的,JXXBYQTLXD,3233413413,QNNQOAWOGR
I30.801,纤维蛋白性心包炎,XWDBXXBY,55532334,XXNRNNQO
I30.900,急性心包炎,JXXBY,32334,QNNQO
I31.000,慢性粘连性心包炎,MXZLXXBY,52412334,NNOLNNQO
I31.001,心包粘连,XBZL,3341,NQOL
I31.100,慢性缩窄性心包炎,MXSZXXBY,52542334,NNXPNNQO
I31.101,心包钙化,XBGH,3333,NQQW
I31.200,心包积血，不可归类在他处者,XBJXBKGLZTCZ,333341241331,NQTTISJODWTF
I31.300,心包积液(非炎性),XBJY(FYX),3334(142),NQTI(DON)
I31.301,乳糜性心包积液,RMXXBJY,3423334,EYNNQTI
I31.302,包裹性心包积液,BGXXBJY,3423334,QYNNQTI
I31.800,心包其他特指的疾病,XBQTTZDJB,331331344,NQAWTRRUU
I31.900,心包疾病,XBJB,3344,NQUU
I31.901,心脏压塞,XZYS,3314,NEDP
I31.902,心包炎,XBY,334,NQO
I31.903,非特异性心包炎,FTYXXBY,1352334,DTNNNQO
I31.904,慢性心包炎,MXXBY,52334,NNNQO
I32.0*,分类于他处的细菌性疾病引起的心包炎,FLYTCDXJXJBYQDXBY,34133351244513334,WOGWTRXANUUXFRNQO
I32.1*,分类于他处的其他传染病和寄生虫病引起的心包炎,FLYTCDQTCRBHJSCBYQDX,34133313344343245133,WOGWTRAWWIUTPTJUXFRN
I32.8*,分类于他处的其他疾病引起的心包炎,FLYTCDQTJBYQDXBY,3413331344513334,WOGWTRAWUUXFRNQO
I33.000,急性和亚急性感染性心内膜炎,JXHYJXGRXXNMY,3231321423234,QNTGQNDINNMEO
I33.001,急性感染性心内膜炎,JXGRXXNMY,321423234,QNDINNMEO
I33.002,亚急性感染性心内膜炎,YJXGRXXNMY,1321423234,GQNDINNMEO
I33.003,链球菌性心内膜炎,LQJXXNMY,31123234,QGANNMEO
I33.004,真菌性心内膜炎,ZJXXNMY,1123234,FANNMEO
I33.005,细菌性心内膜炎,XJXXNMY,5123234,XANNMEO
I33.006,感染性心内膜炎性赘生物,GRXXNMYXZSW,14232342133,DINNMEONGTT
I33.007,亚急性细菌性心内膜炎,YJXXJXXNMY,1325123234,GQNXANNMEO
I33.008,二尖瓣赘生物,EJBZSW,144133,FIUGTT
I33.009,主动脉瓣赘生物,ZDMBZSW,4134133,YFEUGTT
I33.010,三尖瓣赘生物,SJBZSW,144133,DIUGTT
I33.011,肺动脉瓣赘生物,FDMBZSW,3134133,EFEUGTT
I33.012,奥斯勒结节,ASLJJ,31151,TAAXA
I33.900,急性心内膜炎,JXXNMY,323234,QNNMEO
I34.000,二尖瓣关闭不全,EJBGBBQ,1444443,FIUUUIW
I34.001,二尖瓣反流,EJBFL,14434,FIURI
I34.100,二尖瓣脱垂,EJBTC,14433,FIUET
I34.101,二尖瓣脱垂综合征,EJBTCZHZ,14433533,FIUETXWT
I34.102,二尖瓣后叶脱垂,EJBHYTC,1443233,FIURKET
I34.200,非风湿性二尖瓣狭窄,FFSXEJBXZ,124214434,DMINFIUQP
I34.201,二尖瓣术后狭窄,EJBSHXZ,1441334,FIUSRQP
I34.202,老年钙化性二尖瓣狭窄,LNGHXEJBXZ,1333214434,FRQWNFIUQP
I34.800,非风湿性二尖瓣疾患，其他的,FFSXEJBJHQTD,124214442133,DMINFIUUKAWR
I34.801,非风湿性二尖瓣狭窄伴关闭不全,FFSXEJBXZBGBBQ,12421443434443,DMINFIUQPWUUIW
I34.802,二尖瓣腱索断裂,EJBJSDL,1443141,FIUEFOG
I34.803,二尖瓣退行性变,EJBTHXB,1445324,FIUVTNY
I34.900,非风湿性二尖瓣疾患,FFSXEJBJH,124214442,DMINFIUUK
I35.000,主动脉瓣狭窄,ZDMBXZ,413434,YFEUQP
I35.100,主动脉瓣关闭不全,ZDMBGBBQ,41344443,YFEUUUIW
I35.101,心内膜炎伴主动脉瓣关闭不全,XNMYBZDMBGBBQ,3234341344443,NMEOWYFEUUUIW
I35.200,主动脉瓣狭窄伴有关闭不全,ZDMBXZBYGBBQ,413434334443,YFEUQPWEUUIW
I35.800,主动脉瓣疾患，其他的,ZDMBJHQTD,413442133,YFEUUKAWR
I35.801,主动脉瓣硬化,ZDMBYH,413413,YFEUDW
I35.802,主动脉瓣松软综合征,ZDMBSRZHZ,413412533,YFEUSLXWT
I35.803,心内膜炎伴主动脉瓣穿孔,XNMYBZDMBCK,32343413445,NMEOWYFEUPB
I35.804,退行性主动脉瓣疾患,THXZDMBJH,532413442,VTNYFEUUK
I35.805,主动脉瓣增厚,ZDMBZH,413411,YFEUFD
I35.806,主动脉瓣钙化,ZDMBGH,413433,YFEUQW
I35.807,主动脉瓣周脓肿,ZDMBZNZ,4134233,YFEUMEE
I35.808,主动脉瓣脱垂,ZDMBTC,413433,YFEUET
I35.900,主动脉瓣疾患,ZDMBJH,413442,YFEUUK
I36.000,非风湿性三尖瓣狭窄,FFSXSJBXZ,124214434,DMINDIUQP
I36.100,非风湿性三尖瓣关闭不全,FFSXSJBGBBQ,12421444443,DMINDIUUUIW
I36.200,非风湿性三尖瓣狭窄伴有关闭不全,FFSXSJBXZBYGBBQ,124214434334443,DMINDIUQPWEUUIW
I36.800,非风湿性三尖瓣疾患，其他的,FFSXSJBJHQTD,124214442133,DMINDIUUKAWR
I36.801,非风湿性三尖瓣脱垂,FFSXSJBTC,124214433,DMINDIUET
I36.900,非风湿性三尖瓣疾患,FFSXSJBJH,124214442,DMINDIUUK
I37.000,肺动脉瓣狭窄,FDMBXZ,313434,EFEUQP
I37.100,肺动脉瓣关闭不全,FDMBGBBQ,31344443,EFEUUUIW
I37.200,肺动脉瓣狭窄伴有关闭不全,FDMBXZBYGBBQ,313434334443,EFEUQPWEUUIW
I37.800,肺动脉瓣疾患，其他的,FDMBJHQTD,313442133,EFEUUKAWR
I37.900,肺动脉瓣疾患,FDMBJH,313442,EFEUUK
I38.x00,瓣膜心内膜炎,BMXNMY,433234,UENMEO
I38.x01,心脏瓣膜病,XZBMB,33434,NEUEU
I38.x02,心脏瓣膜穿孔,XZBMCK,334345,NEUEPB
I38.x03,心脏瓣膜钙化,XZBMGH,334333,NEUEQW
I39.0*,分类于他处的疾病引起的二尖瓣疾患,FLYTCDJBYQDEJBJH,3413334451314442,WOGWTRUUXFRFIUUK
I39.1*,分类于他处的疾病引起的主动脉瓣疾患,FLYTCDJBYQDZDMBJH,34133344513413442,WOGWTRUUXFRYFEUUK
I39.2*,分类于他处的疾病引起的三尖瓣疾患,FLYTCDJBYQDSJBJH,3413334451314442,WOGWTRUUXFRDIUUK
I39.3*,分类于他处的疾病引起的肺动脉瓣疾患,FLYTCDJBYQDFDMBJH,34133344513313442,WOGWTRUUXFREFEUUK
I39.4*,分类于他处的疾病引起的多个瓣膜疾患,FLYTCDJBYQDDGBMJH,34133344513334342,WOGWTRUUXFRQWUEUK
I39.8*,分类于他处的疾病引起的瓣膜的心内膜炎,FLYTCDJBYQDBMDXNMY,341333445134333234,WOGWTRUUXFRUERNMEO
I40.000,感染性心肌炎,GRXXJY,142334,DINNEO
I40.001,病毒性心肌炎,BDXXJY,412334,UGNNEO
I40.002,急性细菌性心肌炎,JXXJXXJY,32512334,QNXANNEO
I40.100,孤立性心肌炎,GLXXJY,542334,BUNNEO
I40.800,急性心肌炎，其他的,JXXJYQTD,32334133,QNNEOAWR
I40.900,急性心肌炎,JXXJY,32334,QNNEO
I41.0*,分类于他处的细菌性疾病引起的心肌炎,FLYTCDXJXJBYQDXJY,34133351244513334,WOGWTRXANUUXFRNEO
I41.1*,分类于他处的病毒性疾病引起的心肌炎,FLYTCDBDXJBYQDXJY,34133341244513334,WOGWTRUGNUUXFRNEO
I41.2*,分类于他处的其他传染病和寄生虫病引起的心肌炎,FLYTCDQTCRBHJSCBYQDX,34133313344343245133,WOGWTRAWWIUTPTJUXFRN
I41.8*,分类于他处的其他疾病引起的心肌炎,FLYTCDQTJBYQDXJY,3413331344513334,WOGWTRAWUUXFRNEO
I42.000,扩张型心肌病,KZXXJB,151334,RXGNEU
I42.100,梗阻性肥厚型心肌病,GZXFHXXJB,152311334,SBNEDGNEU
I42.101,肥厚型梗阻性心肌病,FHXGZXXJB,311152334,EDGSBNNEU
I42.200,肥厚型心肌病，其他的,FHXXJBQTD,311334133,EDGNEUAWR
I42.201,心尖肥厚型心肌病,XJFHXXJB,34311334,NIEDGNEU
I42.300,心内膜心肌(嗜酸性)病,XNMXJ(SSX)B,32333(212)4,NMENE(KSN)U
I42.301,心内膜心肌纤维化,XNMXJXWH,32333553,NMENEXXW
I42.400,心内膜弹力纤维增生症,XNMDLXWZSZ,3235555134,NMEXLXXFTU
I42.401,先天性心肌病,XTXXJB,312334,TGNNEU
I42.500,限制型心肌病，其他的,XZXXJBQTD,531334133,BRGNEUAWR
I42.501,缩窄性心肌病,SZXXJB,542334,XPNNEU
I42.600,酒精性心肌病,JJXXJB,442334,IONNEU
I42.700,药物和其他外部因素引起的心肌病,YWHQTWBYSYQDXJB,133133421513334,ATTAWQULGXFRNEU
I42.701,药物性心肌病,YWXXJB,132334,ATNNEU
I42.800,心肌病，其他的,XJBQTD,334133,NEUAWR
I42.801,心尖球囊样综合征,XJQNYZHZ,34111533,NIGGSXWT
I42.802,心动过速性心肌病,XDGSXXJB,31112334,NFFGNNEU
I42.803,右室心肌病,YSXJB,14334,DPNEU
I42.900,心肌病,XJB,334,NEU
I42.901,继发性心肌病,JFXXJB,552334,XVNNEU
I42.902,家族性心肌病,JZXXJB,442334,PYNNEU
I42.904,特异性心肌病,TYXXJB,352334,TNNNEU
I43.0*,分类于他处的传染病和寄生虫病引起的心肌病,FLYTCDCRBHJSCBYQDXJB,34133334434324513334,WOGWTRWIUTPTJUXFRNEU
I43.1*,代谢性疾病引起的心肌病,DXXJBYQDXJB,34244513334,WYNUUXFRNEU
I43.2*,营养性疾病引起的心肌病,YYXJBYQDXJB,14244513334,AUNUUXFRNEU
I43.8*,分类于他处的其他疾病引起的心肌病,FLYTCDQTJBYQDXJB,3413331344513334,WOGWTRAWUUXFRNEU
I44.000,Ⅰ度房室传导阻滞,DFSCDZZ,4443554,YYPWNBI
I44.100,Ⅱ度房室传导阻滞,DFSCDZZ,4443554,YYPWNBI
I44.101,Ⅱ度一型房室传导阻滞,DYXFSCDZZ,411443554,YGGYPWNBI
I44.102,Ⅱ度二型房室传导阻滞,DEXFSCDZZ,411443554,YFGYPWNBI
I44.200,Ⅲ度房室传导阻滞,DFSCDZZ,4443554,YYPWNBI
I44.201,高度房室传导阻滞,GDFSCDZZ,44443554,YYYPWNBI
I44.300,房室传导阻滞，其他和未特指的,FSCDZZQTHWTZD,4435541331313,YPWNBIAWTFTRR
I44.301,室内传导阻滞,SNCDZZ,423554,PMWNBI
I44.302,部分房室传导阻滞,BFFSCDZZ,43443554,UWYPWNBI
I44.303,房室传导阻滞,FSCDZZ,443554,YPWNBI
I44.400,左前分支传导阻滞,ZQFZCDZZ,14313554,DUWFWNBI
I44.500,左后分支传导阻滞,ZHFZCDZZ,13313554,DRWFWNBI
I44.600,分支传导阻滞，其他和未特指的,FZCDZZQTHWTZD,3135541331313,WFWNBIAWTFTRR
I44.601,不完全性左束支传导阻滞,BWQXZSZCDZZ,44321113554,IPWNDGFWNBI
I44.602,完全性左束支传导阻滞,WQXZSZCDZZ,4321113554,PWNDGFWNBI
I44.700,左束支传导阻滞,ZSZCDZZ,1113554,DGFWNBI
I45.000,右分支传导阻滞,YFZCDZZ,1313554,DWFWNBI
I45.100,右束支传导阻滞，其他和未特指的,YSZCDZZQTHWTZD,11135541331313,DGFWNBIAWTFTRR
I45.101,不完全性右束支传导阻滞,BWQXYSZCDZZ,44321113554,IPWNDGFWNBI
I45.102,完全性右束支传导阻滞,WQXYSZCDZZ,4321113554,PWNDGFWNBI
I45.103,右束支传导阻滞,YSZCDZZ,1113554,DGFWNBI
I45.200,双分支传导阻滞,SFZCDZZ,5313554,CWFWNBI
I45.300,三分支传导阻滞,SFZCDZZ,1313554,DWFWNBI
I45.400,非特异性室内传导阻滞,FTYXSNCDZZ,1352423554,DTNNPMWNBI
I45.401,束支传导阻滞,SZCDZZ,113554,GFWNBI
I45.500,心脏传导阻滞，其他特指的,XZCDZZQTTZD,33355413313,NEWNBIAWTRR
I45.501,窦房传导阻滞,DFCDZZ,443554,PYWNBI
I45.502,窦性停搏,DXTB,4231,PNWR
I45.600,预激综合征,YJZHZ,54533,CIXWT
I45.601,劳恩-加农-莱文综合征,LE-JN-LWZHZ,12-54-14533,AL-LP-AYXWT
I45.602,隐性预激综合征,YXYJZHZ,5254533,BNCIXWT
I45.800,传导疾患，其他特指的,CDJHQTTZD,354213313,WNUKAWTRR
I45.801,短QT综合征,DQTZHZ,3QT533,TQTXWT
I45.802,房室结双径路,FSJSJL,445532,YPXCTK
I45.803,长QT综合征,CQTZHZ,3QT533,TQTXWT
I45.804,先天性QT间期延长,XTXQTJQYC,312QT4133,TGNQTUATT
I45.805,继发性QT间期延长,JFXQTJQYC,552QT4133,XVNQTUATT
I45.900,传导疾患,CDJH,3542,WNUK
I45.901,阿-斯综合征,A-SZHZ,5-1533,B-AXWT
I46.000,心脏停搏复苏成功,XZTBFSCG,33313111,NEWRTADA
I46.100,被描述为心脏性猝死,BMSWXZXCS,411433231,PRSYNENQG
I46.900,心脏停搏,XZTB,3331,NEWR
I46.901,呼吸心跳骤停,HXXTZT,223253,KKNKCW
I47.000,折返性室性心律失常,ZFXSXXLSC,132423334,RRNPNNTRI
I47.100,室上性心动过速,SSXXDGS,4223111,PHNNFFG
I47.101,房性心动过速,FXXDGS,423111,YNNFFG
I47.102,阵发性室上性心动过速,ZFXSSXXDGS,5524223111,BVNPHNNFFG
I47.103,阵发性交界性心动过速,ZFXJJXXDGS,5524223111,BVNULNNFFG
I47.104,阵发性房室折返性心动过速,ZFXFSZFXXDGS,552441323111,BVNYPRRNNFFG
I47.105,交界性心动过速,JJXXDGS,4223111,ULNNFFG
I47.106,阵发性房室结内折返性心动过速,ZFXFSJNZFXXDGS,55244521323111,BVNYPXMRRNNFFG
I47.107,非阵发性交界性心动过速,FZFXJJXXDGS,15524223111,DBVNULNNFFG
I47.108,阵发性房性心动过速,ZFXFXXDGS,552423111,BVNYNNFFG
I47.109,阵发性房室性心动过速,ZFXFSXXDGS,5524423111,BVNYPNNFFG
I47.110,房内折返性心动过速,FNZFXXDGS,421323111,YMRRNNFFG
I47.111,局灶性房性心动过速,JZXFXXDGS,542423111,NONYNNFFG
I47.200,室性心动过速,SXXDGS,423111,PNNFFG
I47.201,阵发性室性心动过速,ZFXSXXDGS,552423111,BVNPNNFFG
I47.202,非阵发性室性心动过速,FZFXSXXDGS,1552423111,DBVNPNNFFG
I47.203,持续性室性心动过速,CXXSXXDGS,152423111,RXNPNNFFG
I47.900,阵发性心动过速,ZFXXDGS,5523111,BVNNFFG
I48.x00,心房颤动和扑动,XFCDHPD,3441311,NYYFTRF
I48.x01,心房颤动,XFCD,3441,NYYF
I48.x02,阵发性心房颤动,ZFXXFCD,5523441,BVNNYYF
I48.x03,心房扑动,XFPD,3411,NYRF
I48.x04,阵发性心房扑动,ZFXXFPD,5523411,BVNNYRF
I48.x05,特发性心房颤动,TFXXFCD,3523441,TVNNYYF
I48.x06,不纯性心房扑动,BCXXFPD,4523411,IXNNYRF
I49.000,心室颤动和扑动,XSCDHPD,3441311,NPYFTRF
I49.001,心室颤动,XSCD,3441,NPYF
I49.002,心室扑动,XSPD,3411,NPRF
I49.003,Brugada综合征,BrugadaZHZ,Brugada533,BrugadaXWT
I49.100,心房过早除极,XFGZCJ,341251,NYFJBS
I49.101,频发性房性期外收缩,PFXFXQWSS,252421355,HVNYNAQNX
I49.200,交界性过早除极,JJXGZCJ,4221251,ULNFJBS
I49.300,心室过早除极,XSGZCJ,341251,NPFJBS
I49.301,频发性室性期外收缩,PFXSXQWSS,252421355,HVNPNAQNX
I49.302,室性自搏,SXZB,4231,PNTR
I49.303,阵发性室性期外收缩,ZFXSXQWSS,552421355,BVNPNAQNX
I49.400,过早除极，其他的,GZCJQTD,1251133,FJBSAWR
I49.401,频发性期外收缩,PFXQWSS,2521355,HVNAQNX
I49.402,偶发房室性期外收缩,OFFSXQWSS,354421355,WVYPNAQNX
I49.403,结性逸搏,JXYB,5231,XNQR
I49.404,过早除极,GZCJ,1251,FJBS
I49.500,病态窦房结综合征,BTDFJZHZ,41445533,UDPYXXWT
I49.501,快慢综合征,KMZHZ,55533,NNXWT
I49.800,心律失常，其他特指的,XLSCQTTZD,333413313,NTRIAWTRR
I49.801,窦性心律失常,DXXLSC,423334,PNNTRI
I49.802,室性心律失常,SXXLSC,423334,PNNTRI
I49.900,心律失常,XLSC,3334,NTRI
I50.000,充血性心力衰竭,CXXXLSJ,4323544,YTNNLYU
I50.001,右心衰竭,YXSJ,1344,DNYU
I50.002,全心衰竭,QXSJ,3344,WNYU
I50.100,左心室衰竭,ZXSSJ,13444,DNPYU
I50.101,急性左心衰竭,JXZXSJ,321344,QNDNYU
I50.102,左心房衰竭,ZXFSJ,13444,DNYYU
I50.103,左心衰竭合并急性肺水肿,ZXSJHBJXFSZ,13443432343,DNYUWUQNEIE
I50.104,心源性哮喘,XYXXC,34222,NINKK
I50.105,慢性左心功能不全,MXZXGNBQ,52131543,NNDNACIW
I50.900,心力衰竭,XLSJ,3544,NLYU
I50.902,心功能Ⅰ级,XGNJ,3155,NACX
I50.903,心功能Ⅱ级,XGNJ,3155,NACX
I50.904,心功能Ⅲ级,XGNJ,3155,NACX
I50.905,心功能Ⅳ级,XGNJ,3155,NACX
I50.906,心肌损害,XJSH,3314,NERP
I50.907,急性心力衰竭,JXXLSJ,323544,QNNLYU
I50.908,慢性心力衰竭,MXXLSJ,523544,NNNLYU
I51.000,心间隔缺损，后天性,XJGQSHTX,34531312,NUBRRRGN
I51.001,后天性房间隔缺损,HTXFJGQS,31244531,RGNYUBRR
I51.100,腱索断裂，不可归类在他处者,JSDLBKGLZTCZ,314141241331,EFOGISJODWTF
I51.200,乳头肌断裂，不可归类在他处者,RTJDLBKGLZTCZ,3434141241331,EUEOGISJODWTF
I51.300,心内血栓形成，不可归类在他处者,XNXSXCBKGLZTCZ,32311141241331,NMTSGDISJODWTF
I51.301,心室血栓,XSXS,3431,NPTS
I51.302,心房血栓,XFXS,3431,NYTS
I51.303,心耳血栓,XEXS,3531,NBTS
I51.304,心尖部血栓,XJBXS,34431,NIUTS
I51.400,心肌炎,XJY,334,NEO
I51.401,老年性心肌炎,LNXXJY,132334,FRNNEO
I51.402,老年性心脏病,LNXXZB,132334,FRNNEU
I51.403,心肌炎后遗症,XJYHYZ,334324,NEORKU
I51.404,间质性心肌炎,JZXXJY,432334,URNNEO
I51.500,心肌变性,XJBX,3342,NEYN
I51.501,老年性心肌变性,LNXXJBX,1323342,FRNNEYN
I51.502,心肌脂肪变性,XJZFBX,333342,NEEEYN
I51.600,心血管疾病,XXGJB,33344,NTTUU
I51.700,心脏肥大,XZFD,3331,NEED
I51.701,左室肥大,ZSFD,1431,DPED
I51.702,右室肥大,YSFD,1431,DPED
I51.703,左房扩大,ZFKD,1411,DYRD
I51.704,右房扩大,YFKD,1411,DYRD
I51.705,运动员心脏综合征,YDYXZZHZ,11233533,FFKNEXWT
I51.706,室间隔肥大,SJGFD,44531,PUBED
I51.707,心房肥大,XFFD,3431,NYED
I51.708,心肌肥厚,XJFH,3331,NEED
I51.709,心室肥大,XSFD,3431,NPED
I51.800,"心脏病,其他不明确的","XZB,QTBMQD","334,134213","NEU,AWIJDR"
I51.801,心室假腱索,XSJJS,34331,NPWEF
I51.802,全心炎,QXY,334,WNO
I51.803,乳头肌功能不全,RTJGNBQ,3431543,EUEACIW
I51.900,心脏病,XZB,334,NEU
I51.901,心脏肿物,XZZW,3333,NEET
I51.902,心房肿物,XFZW,3433,NYET
I51.903,贫血性心脏病,PXXXZB,332334,WTNNEU
I51.904,病毒性心肌炎后遗症,BDXXJYHYZ,412334324,UGNNEORKU
I52.0*,分类于他处的细菌性疾病引起的其他心脏疾患,FLYTCDXJXJBYQDQTXZJH,34133351244513133342,WOGWTRXANUUXFRAWNEUK
I52.1*,分类于他处的其他传染病和寄生虫病引起的其他心脏疾患,FLYTCDQTCRBHJSCBYQDQ,34133313344343245131,WOGWTRAWWIUTPTJUXFRA
I52.8*,分类于他处的其他疾病引起的其他心脏疾患,FLYTCDQTJBYQDQTXZJH,3413331344513133342,WOGWTRAWUUXFRAWNEUK
I60.000,颈动脉弯管和杈的蛛网膜下出血,JDMWGHCDZWMXCX,51343313223153,CFEYTTSRJMEGBT
I60.001,颈动脉动脉瘤破裂伴蛛网膜下隙出血,JDMDMLPLBZWMXXCX,5131341132231553,CFEFEUDGWJMEGBBT
I60.100,大脑中动脉的蛛网膜下出血,DNZDMDZWMXCX,132133223153,DEKFERJMEGBT
I60.101,大脑中动脉瘤破裂伴蛛网膜下隙出血,DNZDMLPLBZWMXXCX,1321341132231553,DEKFEUDGWJMEGBBT
I60.200,前交通动脉的蛛网膜下出血,QJTDMDZWMXCX,445133223153,UUCFERJMEGBT
I60.201,前交通动脉瘤破裂伴蛛网膜下隙出血,QJTDMLPLBZWMXXCX,4451341132231553,UUCFEUDGWJMEGBBT
I60.300,后交通动脉的蛛网膜下出血,HJTDMDZWMXCX,345133223153,RUCFERJMEGBT
I60.301,后交通动脉瘤破裂伴蛛网膜下隙出血,HJTDMLPLBZWMXXCX,3451341132231553,RUCFEUDGWJMEGBBT
I60.400,基底动脉的蛛网膜下出血,JDDMDZWMXCX,14133223153,AYFERJMEGBT
I60.401,基底动脉瘤破裂伴蛛网膜下隙出血,JDDMLPLBZWMXXCX,141341132231553,AYFEUDGWJMEGBBT
I60.500,椎动脉的蛛网膜下出血,ZDMDZWMXCX,1133223153,SFERJMEGBT
I60.600,颅内动脉的蛛网膜下出血，其他的,LNDMDZWMXCXQTD,22133223153133,HMFERJMEGBTAWR
I60.601,小脑后下动脉动脉瘤破裂伴蛛网膜下隙出血,XNHXDMDMLPLBZWMXXCX,2331131341132231553,IERGFEFEUDGWJMEGBBT
I60.700,颅内动脉的蛛网膜下出血,LNDMDZWMXCX,22133223153,HMFERJMEGBT
